scenario,model,test_loss_legacy,test_loss_lib,test_loss_diff,runtime_legacy,runtime_lib
1D_Piecewise,ERM,0.4566,0.4565556448400695,4.43551599305092e-05,3.845996856689453,0.054963111877441406
1D_Piecewise,POS-Expo,0.4563,0.4563427643833705,4.2764383370530457e-05,3.845996856689453,0.054963111877441406
Adult,ERM,0.6299,0.6299374535965421,3.74535965420586e-05,3.167734146118164,0.13273406028747559
Adult,POS-Expo,0.6306,0.6306421646712709,4.21646712708279e-05,3.167734146118164,0.13273406028747559
